Country,GDP_USD,Year,World Bank[14]_Estimate,World Bank[14]_Year,United Nations[15]_Estimate,United Nations[15]_Year
World,110047109,2024,105435540,2023,100834796,2022
United States,29167779,2024,27360935,2023,25744100,2022
China,18273357,[n 1]2024,17794782,[n 3]2023,17963170,[n 1]2022
Germany,4710032,2024,4456081,2023,4076923,2022
Japan,4070094,2024,4212945,2023,4232173,2022
India,3889130,2024,3549919,2023,3465541,2022
United Kingdom,3587545,2024,3340032,2023,3089072,2022
France,3174099,2024,3030904,2023,2775316,2022
Italy,2376510,2024,2254851,2023,2046952,2022
Canada,2214796,2024,2140086,2023,2137939,2022
Brazil,2188419,2024,2173666,2023,1920095,2022
Russia,2184316,2024,2021421,2023,2240422,2022
South Korea,1869916,2024,1712793,2023,1673916,2022
Mexico,1848125,2024,1788887,2023,1463323,2022
Australia,1802006,2024,1723827,2023,1776577,2022
Spain,1731469,2024,1580695,2023,1415874,2022
Indonesia,1402590,2024,1371171,2023,1319100,2022
Turkey,1344318,2024,1108022,2023,907118,2022
Netherlands,1218401,2024,1118125,2023,1008027,2022
Saudi Arabia,1100706,2024,1067583,2023,1108148,2022
Switzerland,942265,2024,884940,2023,818426,2022
Poland,862908,2024,811229,2023,688125,2022
Taiwan,775017,[n 4]2024,—,—,—,—
Belgium,662183,2024,632217,2023,582643,2022
Sweden,609039,2024,593268,2023,591188,2022
Argentina,604382,2024,640591,2023,631133,2022
Ireland,560566,2024,545629,2023,532415,2022
United Arab Emirates,545053,2024,504173,2023,507063,2022
Austria,535804,2024,516034,2023,470302,2022
Singapore,530708,2024,501428,2023,466788,2022
Thailand,528919,2024,514945,2023,495340,2022
Israel,528067,2024,509902,2023,525002,2022
Norway,503752,2024,485513,2023,579422,2022
Philippines,470062,2024,437146,2023,404284,2022
Vietnam,468485,2024,429717,2023,408802,2022
Bangladesh,451468,2024,437415,2023,432677,2022
Malaysia,439748,2024,399649,2023,406305,2022
Iran,434243,2024,401505,2023,398047,2022
Colombia,417207,2024,363540,2023,343939,2022
Denmark,412293,2024,404199,2023,400167,2022
South Africa,403045,2024,377782,2023,405270,2022
Hong Kong,401751,[n 5]2024,382055,2023,359838,2022
Romania,380561,2024,351003,2023,300690,2022
Egypt,380044,2024,395926,2023,409306,2022
Pakistan,374595,2024,338368,2023,326796,2022
Czech Republic,342992,2024,330858,2023,290527,2022
Chile,328720,2024,335533,2023,300686,2022
Finland,306083,2024,300187,2023,282511,2022
Portugal,303032,2024,287080,2023,254849,2022
Kazakhstan,292553,2024,261421,2023,225496,2022
Peru,283309,2024,267603,2023,242631,2022
Iraq,264149,2024,250843,2023,264182,2022
Algeria,260134,2024,239899,2023,191912,2022
Greece,252732,2024,238206,2023,217285,2022
New Zealand,252236,2024,253466,2023,245845,2022
Hungary,228806,2024,212389,2023,177337,2022
Qatar,221406,2024,235770,2022,237101,2022
Nigeria,199721,2024,362815,2023,475058,2022
Ukraine,184099,[n 6]2024,178757,[n 6]2023,160502,[n 6]2022
Kuwait,161822,2024,161772,2023,175363,2022
Morocco,157087,2024,141109,2023,130912,2022
Ethiopia,145031,2024,163698,2023,118971,2022
Slovakia,142617,2024,132794,2023,115304,2022
Dominican Republic,126238,2024,121444,2023,113537,2022
Ecuador,121425,2024,118845,2023,115049,2022
Puerto Rico,120971,2024,117902,2023,113434,2022
Kenya,116321,2024,107441,2023,113419,2022
Angola,113286,2024,84773,2023,113304,2022
Uzbekistan,112653,2024,90889,2023,80391,2022
Guatemala,112369,2024,102050,2023,95003,2022
Oman,109993,2024,108192,2023,114666,2022
Bulgaria,108425,2024,101584,2023,90213,2022
Venezuela,106327,2024,—,—,129313,2022
Costa Rica,95149,2024,86498,2023,68380,2022
Luxembourg,91210,2024,85755,2023,81530,2022
Croatia,89665,2024,82689,2023,71552,2022
Panama,87347,2024,83382,2023,76522,2022
Ivory Coast,86993,2024,78789,2023,70018,2022
Sri Lanka,74846,2022,84357,2023,76187,2022
Uruguay,82605,2024,77241,2023,71171,2022
Turkmenistan,83883,2024,59887,2023,67009,2022
Lithuania,82789,2024,77836,2023,70878,2022
Serbia,82550,2024,75187,2023,63563,2022
Tanzania,79867,2024,79158,2023,73535,[n 7]2022
Azerbaijan,75649,2024,72356,2023,78721,2022
Ghana,75307,2024,76370,2023,73766,2022
Slovenia,73198,2024,68217,2023,59981,2022
Belarus,73129,2024,71857,2023,72873,2022
DR Congo,72483,2024,66383,2023,62551,2022
Myanmar,64284,2024,64815,2023,65211,2022
Uganda,55587,2024,49273,2023,48243,2022
Macau,53447,[n 8]2024,47062,2023,24042,2022
Cameroon,53391,2024,47946,2023,44341,2022
Jordan,53305,2024,50814,2023,47452,2022
Tunisia,52636,2024,48530,2023,46181,2022
Bolivia,48172,2024,45850,2023,44008,2022
Bahrain,47812,2024,43205,2023,44382,2022
Cambodia,47147,2024,31773,2023,29504,2022
Latvia,45521,2024,43627,2023,40876,2022
Paraguay,44937,2024,42956,2023,41722,2022
Libya,44812,2024,50492,2023,40537,2022
Nepal,43673,2024,40908,2023,39406,2022
Estonia,43044,2024,40745,2023,38049,2022
Honduras,36735,2024,34401,2023,31717,2022
Zimbabwe,35919,2024,26538,2023,26418,2022
El Salvador,35848,2024,34016,2023,32488,2022
Cyprus,34790,[n 9]2024,32230,[n 9]2023,29210,[n 9]2022
Senegal,33685,2024,31014,2023,27775,2022
Georgia,33191,[n 10]2024,30536,[n 10]2023,24605,[n 10]2022
Iceland,32919,2024,31020,2023,28064,2022
Papua New Guinea,31716,2024,30933,2022,31609,2022
Zambia,29872,2024,28163,2023,29136,2022
Bosnia and Herzegovina,29078,2024,27055,2023,24473,2022
Trinidad and Tobago,28365,2024,28140,2023,30053,2022
Sudan,26865,2024,109327,2023,36729,2022
Guinea,25447,2024,23612,2023,20846,2022
Albania,25431,2024,22978,2023,18916,2022
Armenia,25408,2024,24212,2023,19513,2022
Haiti,24046,2024,19851,2023,18751,2022
Mozambique,22975,2024,20625,2023,18406,2022
Malta,22737,2024,20957,2023,18100,2022
Mongolia,21943,2024,19872,2023,17146,2022
Burkina Faso,21902,2024,20325,2023,19176,2022
Mali,21662,2024,20905,2023,18827,2022
Botswana,21418,2024,19396,2023,20352,2022
Benin,21371,2024,19673,2023,17396,2022
Guyana,21178,2024,16786,2023,14718,2022
Gabon,21013,2024,20516,2023,20132,2022
Jamaica,20098,2024,19423,2023,17097,2022
Nicaragua,18829,2024,17829,2023,15671,2022
Niger,18816,2024,16819,2023,15414,2022
Chad,18697,2024,13149,2023,16799,2022
Palestine,18602,[n 11]2023,17396,[n 11]2023,19111,[n 12]2022
Moldova,18356,[n 13]2024,16539,[n 13]2023,14510,[n 13]2022
Lebanon,21780,2022,17937,2023,39303,2022
Yemen,16940,2024,—,—,11007,2022
Madagascar,16465,2024,16032,2023,14954,2022
Mauritius,16359,2024,14397,2023,12898,2022
North Macedonia,15873,2024,14761,2023,13711,2022
Kyrgyzstan,15770,2024,13782,2023,12560,2022
Congo,15501,2024,15321,2023,15344,2022
Laos,15190,2024,15843,2023,15362,2022
Afghanistan,14467,2022,14502,2022,14174,2022
Bahamas,14390,2024,14339,2023,12897,2022
Rwanda,13701,2024,14098,2023,13312,2022
Brunei,15510,2024,15128,2023,16681,2022
Tajikistan,1300,2024,12061,2023,10492,2022
Somalia,12804,2024,11680,2023,10420,2022
Namibia,12765,2024,12351,2023,12607,2022
Kosovo,11318,2024,10438,2023,9397,2022
Malawi,11241,2024,14084,2023,12558,2022
Equatorial Guinea,10708,2024,12117,2023,11767,2022
Mauritania,10628,2024,10453,2023,10997,2022
Togo,9832,2024,9171,2023,8087,2022
Montenegro,8010,2024,7405,2023,6229,2022
Maldives,7199,2024,6600,2023,6170,2022
Barbados,6863,2024,6394,2023,5699,2022
South Sudan,6517,2024,—,—,4616,2022
Fiji,5801,2024,5495,2023,4979,2022
Eswatini,5085,2024,4598,2023,4326,2022
Liberia,4754,2024,4332,2023,3265,2022
Sierra Leone,4558,2024,3810,2023,3481,2022
Djibouti,4364,2024,4099,2023,4003,2022
Suriname,4337,2024,3782,2023,3620,2022
Aruba,4069,2024,3545,2022,3544,2022
Andorra,3897,2024,3728,2023,3376,2022
Belize,3296,2024,3282,2023,2830,2022
Bhutan,3110,2024,2898,2022,2898,2022
Burundi,3075,2024,2642,2023,4032,2022
Central African Republic,2810,2024,2555,2023,2395,2022
Cape Verde,2718,2024,2587,2023,2314,2022
Gambia,2694,2024,2340,2023,2231,2022
Saint Lucia,2582,2024,2520,2023,2165,2022
Lesotho,2395,2024,2046,2023,2287,2022
Seychelles,2203,2024,2141,2023,1994,2022
Guinea-Bissau,2151,2024,1966,2023,1574,2022
Antigua and Barbuda,2127,2024,2033,2023,1770,2022
San Marino,2033,2024,1855,2021,1780,2022
East Timor,1992,2024,2243,2023,3204,2022
Solomon Islands,1707,2024,1631,2023,1597,2022
Comoros,1422,2024,1352,2023,1246,2022
Grenada,1406,2024,1320,2023,1192,2022
Vanuatu,1289,2024,1126,2023,985,2022
Saint Kitts and Nevis,1134,2024,1077,2023,979,2022
Saint Vincent and the Grenadines,1128,2024,1066,2023,946,2022
Samoa,1024,2024,934,2023,857,2022
São Tomé and Príncipe,751,2024,603,2023,546,2022
Dominica,708,2024,654,2023,612,2022
Tonga,581,2024,500,2022,488,2022
Micronesia,484,2024,460,2023,427,2022
Kiribati,311,2024,279,2023,223,2022
Palau,308,2024,263,2023,225,2022
Marshall Islands,305,2024,284,2023,279,2022
Nauru,161,2024,154,2023,147,2022
Tuvalu,66,2024,62,2023,59,2022
